"product_link","product_img","product_name","product_price","product_slash_price","product_discount","product_price_discount","product_rating","product_sales"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips751-quiet-blue-intel-core-i7-1355u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/19/f67899f1-1ad1-42a2-bbac-52c788858d5d.png","ASUS Vivobook 14 A1404VA-VIPS751 - Quiet Blue [Intel Core i7-1355U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS]","Rp11.299.000","Rp12.099.000","7%","Diskon 1,1jt","4.5","9 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips751m-quiet-blue-intel-core-i7-1355u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=whid%3D2383689%26src%3Dshop","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/1/1412eefb-2a22-4c7a-beb4-1e85e039f571.jpg","ASUS Vivobook 14 A1404VA-VIPS751M - Quiet Blue [Intel Core i7-1355U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365]","Rp11.299.000","Rp12.099.000","7%","Diskon 1,1jt","5.0","5 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips5510-cool-silver-intel-core-i5-1335u-intel-iris-xe-graphics-16gb-512gb-14inch-win11-ohs?extParam=whid%3D2383689%26src%3Dshop","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/25/e282a941-6a0b-452f-a029-778d48cb2636.jpg","ASUS Vivobook 14 A1404VA-VIPS5510 - Cool Silver [Intel Core i5-1335U / Intel Iris Xe Graphics / 16GB / 512GB / 14inch / WIN11 / OHS]","Rp9.899.000","Rp10.399.000","5%","Diskon 989,9rb","5.0","21 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips552-transparent-silver-intel-core-i5-1335u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D12669178","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/5/605b1c1f-36a0-4e68-b168-b8c347c21ba6.jpg","ASUS Vivobook 14 A1404VA-VIPS552 - Transparent Silver [Intel Core i5-1335U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS]","Rp9.499.000","Rp9.799.000","3%","Diskon 949,9rb","4.9","12 terjual"
"https://www.tokopedia.com/asus/add-on-ram-8gb-asus-vivobook-14-a1404va-vips552-transparent-silver-intel-core-i5-1335u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/31/fc5b87fb-583b-44ef-b97c-572d975eb96a.jpg","[ADD ON RAM 8GB] ASUS Vivobook 14 A1404VA-VIPS552 - Transparent Silver [Intel Core i5-1335U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS]","Rp9.779.000","Rp9.979.000","2%","Diskon 977,9rb","5.0","25 terjual"
"https://www.tokopedia.com/asus/add-on-ram-8gb-asus-vivobook-14-a1404va-vips551-quiet-blue-intel-core-i5-1335u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/29/13c7c881-465b-4cb2-ba4a-16ada581c0b6.jpg","[ADD ON RAM 8GB] ASUS Vivobook 14 A1404VA-VIPS551 - Quiet Blue [Intel Core i5-1335U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS]","Rp9.779.000","Rp9.979.000","2%","Diskon 977,9rb","5.0","15 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404va-vips551-quiet-blue-intel-core-i5-1335u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/5/38c06fb3-fc16-4f44-8546-49028ccc3a58.jpg","ASUS Vivobook 14 A1404VA-VIPS551 - Quiet Blue [Intel Core i5-1335U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS]","Rp9.499.000","Rp9.799.000","3%","Diskon 949,9rb","5.0","18 terjual"
"https://www.tokopedia.com/asus/asus-tuf-gaming-f15-fx507vv-i745k6m-om-mecha-gray-intel-core-i7-13620h-nvidia-geforce-rtx-4060-16gb-512gb-15-6inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/17/d1deaa9d-15a7-40a3-a657-e1de89c7c16c.jpg","ASUS TUF Gaming F15 FX507VV-I745K6M-OM - Mecha Gray [Intel Core i7-13620H / NVIDIA GeForce RTX 4060 / 16GB / 512GB / 15.6inch / WIN11 / OHS / M365]","Rp19.999.000","Rp22.999.000","13%","Diskon 1,2jt","",""
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404za-vips557m-quiet-blue-intel-core-i5-1235u-intel-iris-xe-graphics-16gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/27/8ca6f57e-0c19-47e5-9cac-46b1df680a7d.png","ASUS Vivobook 14 A1404ZA-VIPS557M - Quiet Blue [Intel Core i5-1235U / Intel Iris Xe Graphics / 16GB / 512GB / 14inch / WIN11 / OHS /M365]","Rp9.099.000","Rp9.399.000","3%","Diskon 909,9rb","5.0","11 terjual"
"https://www.tokopedia.com/asus/asus-vivobook-14-a1404za-vips552m-terra-cotta-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/2/c3aec360-42f7-4ff9-80c1-f4bada96d785.jpg","ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365]","Rp8.699.000","Rp8.999.000","3%","Diskon 869,9rb","","1 terjual"
"https://www.tokopedia.com/asus/add-on-ram-8gb-dan-screen-asus-vivobook-14-a1404za-vips552m-terra-cotta-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/2/7ce4a95c-eb99-4af4-96fb-cfbc9e663b70.jpg","[ADD ON RAM 8GB dan SCREEN] ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365]","Rp9.059.000","Rp9.259.000","2%","Diskon 905,9rb","",""
